what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1330362102254
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1330362102254
java.specification.name,sysinfo,,,"Java Platform API Specification",1330362102254
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330362102254
java.specification.version,sysinfo,,,"1.6",1330362102254
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330362102254
java.version,sysinfo,,,"1.6.0_29",1330362102254
java.vm.info,sysinfo,,,"mixed mode",1330362102254
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1330362102254
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330362102254
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330362102254
java.vm.specification.version,sysinfo,,,"1.0",1330362102254
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330362102254
java.vm.version,sysinfo,,,"20.4-b02",1330362102254
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1330362102254
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1330362103315
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1330362104282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330362104313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330362106856
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330362115967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330362117839
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330362118057
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1330362118369
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1330362118603
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1330362118619
