what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1291621371283
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1291621371289
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1291621371293
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1291621371306
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1291621371311
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1291621371324
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1291621371329
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1291621371329
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1291621371342
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1291621371342
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1291621371360
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1291621371369
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1291621371382
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1291621371386
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1291621371394
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1291621371404
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1291621371412
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1291621371433
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1291621371443
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1291621371451
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1291621371463
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1291621371463
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1291621371473
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1291621371486
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1291621371498
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1291621371508
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1291621371520
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1291621371531
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1291621371545
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1291621371557
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1291621371569
os,sysinfo,,,"macosx",1291621371574
arch,sysinfo,,,"x86",1291621371574
ws,sysinfo,,,"cocoa",1291621371574
locale,sysinfo,,,"sv_SE",1291621371574
processors,sysinfo,,,"2",1291621371574
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1291621371574
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1291621371574
java.specification.name,sysinfo,,,"Java Platform API Specification",1291621371574
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291621371574
java.specification.version,sysinfo,,,"1.6",1291621371574
java.vendor,sysinfo,,,"Apple Inc.",1291621371574
java.version,sysinfo,,,"1.6.0_22",1291621371574
java.vm.info,sysinfo,,,"mixed mode",1291621371574
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1291621371574
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1291621371574
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291621371574
java.vm.specification.version,sysinfo,,,"1.0",1291621371574
java.vm.vendor,sysinfo,,,"Apple Inc.",1291621371574
java.vm.version,sysinfo,,,"17.1-b03-307",1291621371574
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1291621374344
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291621374374
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1291621388883
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1291621389742
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1291621389779
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1291621389797
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1291621389807
